                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7404,                 3.4285,                 1.6986,                0.02646,                0.53392,                0.29288,                0.10901,                 1.2415,                 3.4185,                 1.4908,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.3118,                 2.8622,                 1.3202,                0.04028,                0.95279,                0.58475,                0.33757,                 1.2162,                 2.8465,                 1.2249,             0.00017657,             0.00017657,             0.00017657
                      3,                  1.276,                 2.0768,                 1.2759,                0.83255,                 0.3022,                0.62882,                0.35373,                  1.161,                 2.4584,                 1.2098,             0.00025751,             0.00025751,             0.00025751
                      4,                  1.247,                 1.6107,                 1.2557,                0.94656,                0.31852,                0.69981,                0.38516,                 1.1716,                 2.4456,                  1.231,             0.00032853,             0.00032853,             0.00032853
                      5,                 1.2087,                 1.3321,                 1.2703,                0.93754,                0.53462,                0.81495,                0.50187,                 1.2661,                 2.1918,                  1.326,             0.00038966,             0.00038966,             0.00038966
                      6,                 1.1884,                 1.1855,                 1.2829,                0.96663,                0.55102,                0.82613,                0.53541,                 1.2255,                 1.7117,                 1.2715,             0.00044088,             0.00044088,             0.00044088
                      7,                 1.1928,                 1.0893,                 1.2938,                0.87752,                 0.8033,                0.88572,                0.60223,                 1.1636,                 1.3978,                  1.223,              0.0004822,              0.0004822,              0.0004822
                      8,                 1.1693,                 1.0032,                 1.2806,                0.90306,                0.88534,                0.89364,                0.61278,                 1.1919,                 1.2634,                 1.2308,             0.00051362,             0.00051362,             0.00051362
                      9,                   1.14,                0.98379,                 1.2649,                0.88807,                0.86067,                0.89845,                0.63495,                 1.0874,                 1.2597,                 1.1763,             0.00053513,             0.00053513,             0.00053513
                     10,                 1.1534,                 0.9274,                  1.263,                0.93523,                0.88788,                0.90847,                0.64324,                 1.0963,                 1.0132,                 1.1854,             0.00054674,             0.00054674,             0.00054674
                     11,                 1.0924,                0.94424,                 1.2292,                0.89382,                0.88113,                0.90003,                0.62481,                  1.135,                 1.0971,                 1.1963,             0.00054845,             0.00054845,             0.00054845
                     12,                 1.0708,                0.86883,                 1.2053,                0.89861,                0.87626,                0.89468,                0.64247,                 1.0349,                 0.9778,                 1.1594,             0.00054025,             0.00054025,             0.00054025
                     13,                 1.0569,                0.82489,                 1.1838,                0.95166,                0.87732,                0.89846,                0.64382,                 1.0545,                0.89236,                 1.1723,             0.00052216,             0.00052216,             0.00052216
                     14,                 1.0558,                0.79341,                 1.1874,                0.94489,                0.87871,                0.90431,                0.65682,                 1.0405,                 0.8543,                 1.1624,             0.00049416,             0.00049416,             0.00049416
                     15,                 1.0347,                0.76913,                 1.1783,                0.94333,                0.88961,                0.90716,                0.65485,                 1.0464,                0.85893,                 1.1665,              0.0004387,              0.0004387,              0.0004387
                     16,                 1.0238,                0.76066,                 1.1823,                0.94353,                0.88846,                0.90609,                0.66284,                 1.0405,                0.81458,                 1.1626,             0.00036797,             0.00036797,             0.00036797
                     17,                 1.0514,                0.76725,                  1.159,                0.94345,                0.88362,                0.90737,                0.66448,                  1.038,                0.79041,                 1.1639,             0.00029723,             0.00029723,             0.00029723
                     18,                 1.0233,                0.74045,                 1.1833,                0.95542,                0.87725,                0.91127,                 0.6596,                 1.0368,                0.76082,                 1.1709,              0.0002265,              0.0002265,              0.0002265
                     19,                 1.0135,                0.73417,                 1.1617,                0.95657,                 0.8917,                0.91339,                0.66228,                 1.0369,                0.74031,                 1.1701,             0.00015576,             0.00015576,             0.00015576
                     20,                 1.0085,                0.72787,                 1.1664,                0.95662,                0.89208,                0.91445,                0.66795,                 1.0147,                0.72112,                 1.1578,             8.5026e-05,             8.5026e-05,             8.5026e-05
